Field,teff,logg,alpha_m,feh,TEFF,TEFF_PredictDecoded,alpha_predict,LOGG_Predict,FEH_Predict,colors,sizes
SPLUS-n02n23_000000956,5533.88,4.425,0.209686,-0.303,-0.3064855437284235,5513.2866,0.32824078,4.4059925,-0.45237547,0.3677420092368192,0.24268502581755502
SPLUS-n02s22_000009836,6595.35,4.361,0.160062,-1.327,0.6477991944764101,6121.43,0.22211075,3.9675531,-0.95565987,0.6104302894508208,0.1325301204819267
SPLUS-n03s21_000009911,5770.51,4.197,0.313106,-0.7,-0.09375,5805.9917,0.26591298,4.065884,-0.6270548,0.4218437057021354,-0.14974182444061945
SPLUS-n02s37_000013290,5602.11,4.264,0.142481,0.03,-0.24514528193325713,5660.9346,0.1635528,4.256645,-0.05793955,0.38334171658512034,-0.03442340791738374
SPLUS-n02s26_000000844,5608.96,4.189,0.135859,0.127,-0.2389869821634063,5647.411,0.10165847,4.2464976,0.108212985,0.3849078604417211,-0.16351118760757366
SPLUS-n01s37_000002474,5910.79,4.226,0.133663,-0.344,0.032364787111622384,6000.479,0.04845999,4.134937,-0.29735273,0.4539165028121998,-0.09982788296041356
SPLUS-n05s43_000007121,5587.02,4.151,0.364507,-0.431,-0.2587115218642113,5660.3315,0.29322332,4.2524,-0.3937692,0.37989162741780613,-0.2289156626506026
SPLUS-s02s11_000011732,5851.11,4.283,0.06978,-0.031,-0.021288837744534383,5760.706,0.20033775,4.1305976,-0.25451943,0.4402716173579037,-0.0017211703958688318
SPLUS-n02n26_000007152,5498.48,4.583,0.174209,0.075,-0.3383109177215191,5429.655,0.17116697,4.4909186,-0.09605123,0.35964836069321865,0.5146299483648882
SPLUS-n03s22_000008259,5240.5,4.673,0.439806,-0.78,-0.5702405782508633,5395.451,0.3586237,4.432219,-0.61791974,0.3006653253463807,0.669535283993115
SPLUS-n05n54_000010339,5571.38,4.379,0.049752,0.108,-0.27277222382048283,5578.6978,0.10960453,4.3403306,0.023231678,0.37631578947368427,0.16351118760757188
SPLUS-n02n28_000007354,5507.89,4.258,0.463828,-0.444,-0.3298511219792859,5537.148,0.34472597,4.3724117,-0.49224448,0.3617998079473228,-0.0447504302925994
